Cadastro;Tipo;Cód. Terreno;Bairro - Código;Bairro - Nome;Logradouro - Código;Logradouro - Nome;Quadra;Lote;Número;Cep;Situação Cadastral
1152637;Unidade;1156241;12680;BAIRRO HIGIENOPOLIS;442;IMPERATRIZ;4;04/A;640;85.963-560;Ativo
1152629;Unidade;1156233;12680;BAIRRO HIGIENOPOLIS;442;IMPERATRIZ;4;04/B;646;85.963-560;Ativo
1152602;Terreno;;7;DISTRITO DE MARGARIDA;285;GENERAL RONDON;66;2;386;85.976-025;Ativo
1152599;Unidade;267910;12679;BAIRRO BOTAFOGO;111;SAO LUIZ;8;4;660;85.963-286;Ativo
1152580;Unidade;267910;12679;BAIRRO BOTAFOGO;111;SAO LUIZ;8;4;660;85.963-286;Ativo
1152572;Unidade;267910;12679;BAIRRO BOTAFOGO;111;SAO LUIZ;8;4;660;85.963-286;Ativo
1152564;Unidade;267910;12679;BAIRRO BOTAFOGO;111;SAO LUIZ;8;4;660;85.963-286;Ativo
1152556;Unidade;223778;12689;BAIRRO BOA VISTA;649;ARNALDO WILLMS;10;15;1114;85.966-484;Ativo
1152548;Unidade;223778;12689;BAIRRO BOA VISTA;649;ARNALDO WILLMS;10;15;1120;85.966-484;Ativo
1152530;Unidade;192393979;12681;BAIRRO PRIMAVERA;420;DO CEDRO;14;09/A;1181;85.963-152;Ativo
1152521;Unidade;1111981;12681;BAIRRO PRIMAVERA;420;DO CEDRO;14;09/B;1173;85.963-152;Ativo
1152513;Unidade;1154613;12680;BAIRRO HIGIENOPOLIS;442;IMPERATRIZ;3;15/A;563;85.963-560;Ativo
1152505;Unidade;1090291;12680;BAIRRO HIGIENOPOLIS;442;IMPERATRIZ;3;15/B;547;85.963-560;Ativo
1152491;Unidade;263877;12677;BAIRRO CENTRO;12;RIO GRANDE DO SUL;20;01/02/03/07;521;85.960-148;Ativo
1152483;Unidade;192393251;12688;BAIRRO VILA GAUCHA;93;AMIR DALLA VECCHIA;2;12/A;64;85.966-218;Ativo
1152475;Unidade;192393260;12688;BAIRRO VILA GAUCHA;93;AMIR DALLA VECCHIA;2;12/B;70;85.966-218;Ativo
1152467;Unidade;264504;12677;BAIRRO CENTRO;44;INDEPENDENCIA;49;7;550;85.960-180;Ativo
1152459;Unidade;178020;12689;BAIRRO BOA VISTA;657;CARLOS ALBERTO DATSCH;5;6;311;85.966-470;Ativo
1152440;Unidade;111015;12688;BAIRRO VILA GAUCHA;10;PARANA;1;6;5996;85.966-186;Ativo
1152432;Rural;;188;ZONA RURAL;100;RURAL;18;18/83/84/87/H;;85.969-899;Ativo
1152424;Terreno;;12691;BAIRRO PEROBA;678;ANNITA TRENTINI;12;287/C;;85.966-400;Ativo
1152408;Terreno;;12695;BAIRRO FLORIDA;671;WALTER DIETRICH;8;08/09/2010;;85.960-542;Ativo
1152394;Rural;;188;ZONA RURAL;100;RURAL;21;01/15/A;;85.969-899;Ativo
1152386;Rural;;188;ZONA RURAL;100;RURAL;21;01/15/B;;85.969-899;Ativo
1152378;Unidade;1108069;12692;BAIRRO GUAVIRA;589;EQUADOR;2;10;227;85.966-288;Ativo
1152360;Unidade;1082884;12693;BAIRRO ANDORINHA;88;25 DE MARCO;3;8;5056;85.966-154;Ativo
1152351;Unidade;246417;12691;BAIRRO PEROBA;731;AMELIA SAUERESSIG WASEM;4;8;1199;85.966-402;Ativo
1152343;Unidade;1082884;12693;BAIRRO ANDORINHA;88;25 DE MARCO;3;8;5062;85.966-154;Ativo
1152335;Rural;;188;ZONA RURAL;100;RURAL;21;09/A;;85.969-899;Ativo
1152327;Rural;;188;ZONA RURAL;100;RURAL;21;09/B;;85.969-899;Ativo
1152319;Unidade;190829;12688;BAIRRO VILA GAUCHA;653;RENY ALFREDO LAURETH;2;6;307;85.966-248;Ativo
1152297;Unidade;267228;12679;BAIRRO BOTAFOGO;111;SAO LUIZ;5;12;681;85.963-286;Ativo
1152289;Unidade;171395;12689;BAIRRO BOA VISTA;605;DO LAGO;5;20;640;85.966-466;Ativo
1152270;Unidade;171395;12689;BAIRRO BOA VISTA;605;DO LAGO;5;20;646;85.966-466;Ativo
1152262;Unidade;178209;12685;BAIRRO DO LAGO;621;DO PARQUE;6;13/A;333;85.960-214;Ativo
1152254;Unidade;195898;12686;BAIRRO ANA PAULA;45;DOM PEDRO I;2;10;5159;85.960-400;Ativo
1152246;Terreno;;12677;BAIRRO CENTRO;1;CEARA;CHAC.;R/47/48B;;85.960-122;Ativo
1152238;Terreno;;12677;BAIRRO CENTRO;1;CEARA;CHAC.;R-47/R-48/B;;85.960-122;Ativo
1152220;Terreno;;12677;BAIRRO CENTRO;1;CEARA;CHAC;R/47/48/A;;85.960-122;Ativo
1152211;Terreno;;12677;BAIRRO CENTRO;126;MARANHAO;CHAC.;R-35/R-36/A;;85.960-120;Ativo
1152203;Terreno;;12677;BAIRRO CENTRO;46;15 DE NOVEMBRO;CHAC.;R-34-B;;85.960-184;Ativo
1152190;Terreno;;31;DISTRITO DE BELA VISTA;332;DECIO MARTINS COSTA;11;12;;85.972-019;Ativo
1152181;Terreno;;31;DISTRITO DE BELA VISTA;332;DECIO MARTINS COSTA;11;11;;85.972-019;Ativo
1152173;Terreno;;31;DISTRITO DE BELA VISTA;332;DECIO MARTINS COSTA;11;10;;85.972-019;Ativo
1152165;Unidade;1152130;12677;BAIRRO CENTRO;44;INDEPENDENCIA;107;7;893;85.960-180;Ativo
1152157;Unidade;1152130;12677;BAIRRO CENTRO;44;INDEPENDENCIA;107;7;899;85.960-180;Ativo
1152149;Unidade;1152130;12677;BAIRRO CENTRO;44;INDEPENDENCIA;107;7;905;85.960-180;Ativo
1152122;Unidade;240346;12688;BAIRRO VILA GAUCHA;9;SAO PAULO;2;8;5670;85.966-188;Ativo
1152114;Unidade;1153145;12680;BAIRRO HIGIENOPOLIS;443;ONOFRE MACHADO DE SOUZA;3;08/A;510;85.963-562;Ativo
1152106;Unidade;1090224;12680;BAIRRO HIGIENOPOLIS;443;ONOFRE MACHADO DE SOUZA;3;08/B;516;85.963-562;Ativo
1152092;Unidade;1075900;12681;BAIRRO PRIMAVERA;177;CUIABÁ;5;13;3520;85.963-142;Ativo
1152084;Unidade;221074;12689;BAIRRO BOA VISTA;654;ERNO KEMPFER;7;13;244;85.966-428;Ativo
1152076;Unidade;221074;12689;BAIRRO BOA VISTA;654;ERNO KEMPFER;7;13;250;85.966-428;Ativo
1152041;Unidade;1116681;12695;BAIRRO FLORIDA;13268;CARLOTA TURRA;2;8;5875;85.960-500;Ativo
1152033;Unidade;1116681;12695;BAIRRO FLORIDA;13268;CARLOTA TURRA;2;8;5869;85.960-500;Ativo
1152025;Unidade;192395831;12681;BAIRRO PRIMAVERA;12496;INOCÊNCIO FERREIRA;21;06/A;1621;85.963-168;Ativo
1152017;Unidade;1107372;12681;BAIRRO PRIMAVERA;12496;INOCÊNCIO FERREIRA;21;06/B;1617;85.963-168;Ativo
1152009;Unidade;1081020;12694;BAIRRO BORBOLETA;399;LONI LANGE;2;11;322;85.966-012;Ativo
1151991;Unidade;1110152;12681;BAIRRO PRIMAVERA;420;DO CEDRO;22;02/B;1172;85.963-152;Ativo
1151983;Unidade;1152874;12681;BAIRRO PRIMAVERA;420;DO CEDRO;22;02/A;1166;85.963-152;Ativo
1151975;Unidade;121037;10;DISTRITO DE PORTO MENDES;247;CAPITAO HEITOR MENDES;38;2;270;85.973-040;Ativo
1151967;Unidade;270814;12678;BAIRRO ALVORADA;35;MEM DE SA;1;1;3160;85.963-236;Ativo
1151959;Terreno;;12677;BAIRRO CENTRO;126;MARANHAO;CHAC.;R/46;;85.960-120;Ativo
1151940;Unidade;1152858;12693;BAIRRO ANDORINHA;12448;ARMIN ERVIN LINDNER;11;18/A;5219;85.966-124;Ativo
1151932;Unidade;1105981;12693;BAIRRO ANDORINHA;12448;ARMIN ERVIN LINDNER;11;18/B;5213;85.966-124;Ativo
1151924;Unidade;172162;12677;BAIRRO CENTRO;38;TIRADENTES;28-A;09/nov;19;85.960-174;Ativo
1151916;Unidade;1089137;12696;BAIRRO SAO LUCAS;413;ALFREDO NIED;3;8;470;85.960-360;Ativo
1151908;Unidade;1089137;12696;BAIRRO SAO LUCAS;413;ALFREDO NIED;3;8;478;85.960-360;Ativo
1151894;Unidade;230979;12694;BAIRRO BORBOLETA;658;VALDIR WINTER;7;8;367;85.966-020;Ativo
1151886;Unidade;230979;12694;BAIRRO BORBOLETA;658;VALDIR WINTER;7;8;379;85.966-020;Ativo
1151878;Unidade;1118536;12695;BAIRRO FLORIDA;688;ARTHUR HOFMEISTER;3;16;3429;85.960-546;Ativo
1151860;Unidade;1118536;12695;BAIRRO FLORIDA;688;ARTHUR HOFMEISTER;3;16;3417;85.960-546;Ativo
1151851;Unidade;233064;12693;BAIRRO ANDORINHA;20;HELMUTH PRIESNITZ;1;03/abr;5030;85.966-158;Ativo
1151827;Unidade;1103547;12681;BAIRRO PRIMAVERA;735;OTTO FOLLMANN;3;9;790;85.963-158;Ativo
1151819;Unidade;1103547;12681;BAIRRO PRIMAVERA;735;OTTO FOLLMANN;3;9;796;85.963-158;Ativo
1151800;Unidade;1103547;12681;BAIRRO PRIMAVERA;735;OTTO FOLLMANN;3;9;802;85.963-158;Ativo
1151797;Unidade;1103547;12681;BAIRRO PRIMAVERA;735;OTTO FOLLMANN;3;9;808;85.963-158;Ativo
1151789;Unidade;281131;12698;BAIRRO ESPIGAO;14899;COLOMBO;3;8;2003;85.960-094;Ativo
1151770;Unidade;250783;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;191;10-A;630;85.960-124;Ativo
1151762;Unidade;250783;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;191;10-A;630;85.960-124;Ativo
1151754;Unidade;250783;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;191;10-A;630;85.960-124;Ativo
1151746;Unidade;250783;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;191;10-A;630;85.960-124;Ativo
1151738;Unidade;250783;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;191;10-A;624;85.960-124;Ativo
