Cadastro;Tipo;Cód. Terreno;Bairro - Código;Bairro - Nome;Logradouro - Código;Logradouro - Nome;Quadra;Lote;Número;Cep;Situação Cadastral
192415352;Unidade;236721;12679;BAIRRO BOTAFOGO;109;MANAUS;5;12;401;85.963-294;Ativo
192415344;Unidade;1106236;12693;BAIRRO ANDORINHA;12447;ERNESTO VITECK;13;3;5192;85.966-122;Ativo
192415336;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415328;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415310;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415301;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415271;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415263;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415255;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415247;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415239;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415220;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415212;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415204;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415190;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415182;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415174;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415166;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415158;Unidade;263648;12677;BAIRRO CENTRO;11;SANTA CATARINA;13;9;388;85.960-146;Ativo
192415140;Unidade;1135350;12695;BAIRRO FLORIDA;670;GEORG VORPAGEL;1;8;2255;85.960-538;Ativo
192415131;Unidade;1117165;12695;BAIRRO FLORIDA;51;IRIO JACOB WELP;6;10;6006;85.960-508;Ativo
192415123;Unidade;1117165;12695;BAIRRO FLORIDA;51;IRIO JACOB WELP;6;10;6010;85.960-508;Ativo
192415115;Unidade;1117165;12695;BAIRRO FLORIDA;51;IRIO JACOB WELP;6;10;6010;85.960-508;Ativo
192415107;Unidade;1029630;12693;BAIRRO ANDORINHA;552;SUBURBANA;CHAC;20;;85.969-899;Ativo
192415093;Unidade;186511;12689;BAIRRO BOA VISTA;12;RIO GRANDE DO SUL;5;16/17;7256;85.966-438;Ativo
192415085;Unidade;1144251;12694;BAIRRO BORBOLETA;15147;ALFREDO RAHMEIER;5;1;368;85.966-008;Ativo
192415077;Unidade;1091018;12680;BAIRRO HIGIENOPOLIS;444;FRANCISCO BELTRAO;6;5;652;85.963-564;Ativo
192415050;Unidade;1110900;12681;BAIRRO PRIMAVERA;12679;FERNANDO ALLEBRANDT;8;4;1861;85.963-164;Ativo
192415042;Unidade;1110900;12681;BAIRRO PRIMAVERA;12679;FERNANDO ALLEBRANDT;8;4;1851;85.963-164;Ativo
192415034;Unidade;1107615;12681;BAIRRO PRIMAVERA;180;PASTOR MARIO HORT;23;10;1618;85.963-174;Ativo
192415026;Unidade;133248;12677;BAIRRO CENTRO;14;GOIAS;2;mar/15;1494;85.960-152;Ativo
192415000;Unidade;233234;12693;BAIRRO ANDORINHA;17;TOCANTINS;5;1;5035;85.966-110;Ativo
192414992;Unidade;233234;12693;BAIRRO ANDORINHA;17;TOCANTINS;5;1;5027;85.966-110;Ativo
192414984;Unidade;1105191;12693;BAIRRO ANDORINHA;12445;ELISANDRO EMMEL;8;2;6615;85.966-118;Ativo
192414976;Unidade;1090445;12680;BAIRRO HIGIENOPOLIS;442;IMPERATRIZ;4;2;614;85.963-560;Ativo
192414968;Unidade;1090445;12680;BAIRRO HIGIENOPOLIS;442;IMPERATRIZ;4;2;620;85.963-560;Ativo
192414950;Unidade;168424;12682;BAIRRO LIDER;52;DEONATO SCHWAB;4;10;2569;85.960-053;Ativo
192414941;Unidade;223417;12689;BAIRRO BOA VISTA;649;ARNALDO WILLMS;5;3;1047;85.966-484;Ativo
192414933;Unidade;223417;12689;BAIRRO BOA VISTA;649;ARNALDO WILLMS;5;3;1041;85.966-484;Ativo
192414925;Unidade;1109596;12693;BAIRRO ANDORINHA;665;HELMUTH KOCH;9;7;5356;85.966-138;Ativo
192414917;Unidade;1109596;12693;BAIRRO ANDORINHA;665;HELMUTH KOCH;9;7;5360;85.966-138;Ativo
192414909;Unidade;135429;12694;BAIRRO BORBOLETA;98;DARLEY GERMANO BREGOLLI;3;4;261;85.966-026;Ativo
192414895;Unidade;135429;12694;BAIRRO BORBOLETA;98;DARLEY GERMANO BREGOLLI;3;4;247;85.966-026;Ativo
192414887;Unidade;224804;12688;BAIRRO VILA GAUCHA;99;ROGERIO VALTER GRUM;9;7;5148;85.966-212;Ativo
192414879;Unidade;1109413;12693;BAIRRO ANDORINHA;12644;VALDIR MALAGUTTI;8;4;154;85.966-134;Ativo
192414852;Terreno;;8;DISTRITO DE NOVO TRES PASSOS;329;OLAVO BILAC;7;03/B;;85.970-014;Ativo
192414844;Unidade;221309;12689;BAIRRO BOA VISTA;9;SAO PAULO;11;11;7410;85.966-432;Ativo
192414836;Unidade;192309;12689;BAIRRO BOA VISTA;657;CARLOS ALBERTO DATSCH;3;20;1018;85.966-470;Ativo
192414828;Rural;;188;ZONA RURAL;100;RURAL;20;211/D;;85.969-899;Ativo
192414810;Terreno;;12693;BAIRRO ANDORINHA;12645;EMILIO ZARNOTT;6;7;;85.966-136;Ativo
192414801;Terreno;;12693;BAIRRO ANDORINHA;12644;VALDIR MALAGUTTI;6;4;;85.966-134;Ativo
192414798;Terreno;;12693;BAIRRO ANDORINHA;12645;EMILIO ZARNOTT;6;8;;85.966-136;Ativo
192414780;Terreno;;12693;BAIRRO ANDORINHA;12644;VALDIR MALAGUTTI;6;3;;85.966-134;Ativo
192414771;Terreno;;12693;BAIRRO ANDORINHA;12645;EMILIO ZARNOTT;6;9;;85.966-136;Ativo
192414763;Terreno;;12693;BAIRRO ANDORINHA;12644;VALDIR MALAGUTTI;6;2;;85.966-134;Ativo
192414755;Unidade;1111043;12681;BAIRRO PRIMAVERA;735;OTTO FOLLMANN;9;2;1314;85.963-158;Ativo
192414747;Unidade;225053;12688;BAIRRO VILA GAUCHA;658;VALDIR WINTER;13;9;288;85.966-160;Ativo
192414739;Unidade;225053;12688;BAIRRO VILA GAUCHA;658;VALDIR WINTER;13;9;296;85.966-160;Ativo
192414720;Unidade;1108816;12693;BAIRRO ANDORINHA;12644;VALDIR MALAGUTTI;1;8;33;85.966-134;Ativo
192414712;Unidade;1108816;12693;BAIRRO ANDORINHA;12644;VALDIR MALAGUTTI;1;8;27;85.966-134;Ativo
192414690;Unidade;195162;12696;BAIRRO SAO LUCAS;428;SAO FRANCISCO DE ASSIS;2;10;633;85.960-368;Ativo
192414682;Unidade;1118587;12695;BAIRRO FLORIDA;687;CARLOS FIETZ;4;2;3544;85.960-544;Ativo
192414674;Unidade;1118587;12695;BAIRRO FLORIDA;687;CARLOS FIETZ;4;2;3550;85.960-544;Ativo
192414666;Unidade;275336;12678;BAIRRO ALVORADA;37;7 DE SETEMBRO;3;7;2739;85.963-232;Ativo
192414658;Unidade;1080946;12694;BAIRRO BORBOLETA;399;LONI LANGE;3;19;447;85.966-012;Ativo
192414640;Unidade;257028;12677;BAIRRO CENTRO;37;7 DE SETEMBRO;134;08/B;1161;85.960-170;Ativo
192414631;Unidade;314196;12680;BAIRRO HIGIENOPOLIS;442;IMPERATRIZ;8;7;98;85.963-560;Ativo
192414623;Unidade;223751;12689;BAIRRO BOA VISTA;649;ARNALDO WILLMS;10;13;1092;85.966-484;Ativo
192414615;Unidade;253332;12677;BAIRRO CENTRO;3;PARAIBA;175;12;1300;85.960-126;Ativo
192414607;Unidade;1109561;12693;BAIRRO ANDORINHA;12644;VALDIR MALAGUTTI;9;4;48;85.966-134;Ativo
192414593;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414585;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414577;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414569;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414550;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414542;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414534;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414526;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414518;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414500;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414496;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414488;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414470;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414461;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1336;85.960-124;Ativo
192414453;Unidade;251666;12677;BAIRRO CENTRO;2;RIO GRANDE DO NORTE;197;10 C;1342;85.960-124;Ativo
192414445;Unidade;194492;12693;BAIRRO ANDORINHA;658;VALDIR WINTER;1;15;527;85.966-102;Ativo
192414437;Rural;;188;ZONA RURAL;100;RURAL;11;54/55/56/E;;85.969-899;Ativo
192414429;Unidade;1112503;12681;BAIRRO PRIMAVERA;652;LONDRINA;18;3;1476;85.963-154;Ativo
192414410;Unidade;1112503;12681;BAIRRO PRIMAVERA;652;LONDRINA;18;3;1470;85.963-154;Ativo
192414402;Unidade;1126202;12695;BAIRRO FLORIDA;428;SAO FRANCISCO DE ASSIS;1;16;6055;85.960-514;Ativo
192414399;Unidade;1126202;12695;BAIRRO FLORIDA;428;SAO FRANCISCO DE ASSIS;1;16;6049;85.960-514;Ativo
192414380;Unidade;1123467;12695;BAIRRO FLORIDA;430;SÃO VICENTE;2;9;846;85.960-516;Ativo
192414372;Unidade;1123467;12695;BAIRRO FLORIDA;430;SÃO VICENTE;2;9;854;85.960-516;Ativo
192414364;Unidade;136158;12689;BAIRRO BOA VISTA;599;BERTOLDO POTTRATZ;3;6;64;85.966-462;Ativo
192414356;Unidade;225029;12688;BAIRRO VILA GAUCHA;98;DARLEY GERMANO BREGOLLI;13;6;5230;85.966-216;Ativo
192414348;Unidade;225029;12688;BAIRRO VILA GAUCHA;658;VALDIR WINTER;13;6;244;85.966-160;Ativo
192414330;Unidade;225029;12688;BAIRRO VILA GAUCHA;658;VALDIR WINTER;13;6;254;85.966-160;Ativo
192414321;Unidade;222445;12695;BAIRRO FLORIDA;671;WALTER DIETRICH;2;05/A;3170;85.960-542;Ativo
192414313;Unidade;222445;12695;BAIRRO FLORIDA;428;SAO FRANCISCO DE ASSIS;2;05/A;6034;85.960-514;Ativo
192414305;Unidade;222445;12695;BAIRRO FLORIDA;428;SAO FRANCISCO DE ASSIS;2;05/A;6042;85.960-514;Ativo
192414291;Unidade;222445;12695;BAIRRO FLORIDA;428;SAO FRANCISCO DE ASSIS;2;05/A;6048;85.960-514;Ativo
192414283;Terreno;;12693;BAIRRO ANDORINHA;12644;VALDIR MALAGUTTI;3;7;;85.966-134;Ativo
192414275;Terreno;;12693;BAIRRO ANDORINHA;12644;VALDIR MALAGUTTI;3;6;;85.966-134;Ativo
192414267;Terreno;;12693;BAIRRO ANDORINHA;12644;VALDIR MALAGUTTI;3;04/mai;;85.966-134;Ativo
192414259;Unidade;1097016;12681;BAIRRO PRIMAVERA;11112;OSMAR MARTINS;2;23;173;85.963-136;Ativo
192414240;Unidade;1109693;12693;BAIRRO ANDORINHA;661;ELÁRIO ARTHUR WENDPAP;9;17;5403;85.966-132;Ativo
192414232;Unidade;1106147;12693;BAIRRO ANDORINHA;12447;ERNESTO VITECK;12;14;5267;85.966-122;Ativo
192414224;Unidade;1106147;12693;BAIRRO ANDORINHA;12447;ERNESTO VITECK;12;14;5263;85.966-122;Ativo
192414216;Unidade;1123343;12695;BAIRRO FLORIDA;430;SÃO VICENTE;1;11;841;85.960-516;Ativo
192414208;Unidade;1123343;12695;BAIRRO FLORIDA;430;SÃO VICENTE;1;11;835;85.960-516;Ativo
192414178;Unidade;192398180;12683;BAIRRO INDUSTRIAL LESTE;552;SUBURBANA;12;80/81/82/85/C;;85.969-899;Ativo
192414160;Unidade;1068652;12692;BAIRRO GUAVIRA;376;INDEPENDENTE;2;4;307;85.966-280;Ativo
192414151;Unidade;1068652;12692;BAIRRO GUAVIRA;376;INDEPENDENTE;2;4;301;85.966-280;Ativo
192414143;Unidade;223522;12689;BAIRRO BOA VISTA;649;ARNALDO WILLMS;9;3;1145;85.966-484;Ativo
192414135;Unidade;1064738;12681;BAIRRO PRIMAVERA;652;LONDRINA;4;2;621;85.963-154;Ativo
192414127;Unidade;1110705;12681;BAIRRO PRIMAVERA;12679;FERNANDO ALLEBRANDT;7;1;1850;85.963-164;Ativo
192414119;Rural;;188;ZONA RURAL;100;RURAL;18;107-A/B;;85.969-899;Ativo
192414100;Rural;;188;ZONA RURAL;100;RURAL;18;106/D;;85.969-899;Ativo
192414089;Unidade;57118;12682;BAIRRO LIDER;145;LEMGO;7;2;200;85.960-009;Ativo
192414070;Unidade;233684;12686;BAIRRO ANA PAULA;32;CABRAL;1;5;7;85.960-420;Ativo
192414062;Unidade;200042;12688;BAIRRO VILA GAUCHA;75;SOUZA NAVES;1;20;5943;85.966-178;Ativo
192414054;Unidade;58742;12682;BAIRRO LIDER;123;PORTO ALEGRE;4;6;1549;85.960-017;Ativo
192414038;Unidade;80810;12681;BAIRRO PRIMAVERA;237;DOS ANTÚRIOS;1;1;6227;85.963-132;Ativo
192414020;Unidade;80810;12681;BAIRRO PRIMAVERA;237;DOS ANTÚRIOS;1;1;6215;85.963-132;Ativo
192414011;Unidade;192415280;12681;BAIRRO PRIMAVERA;12495;DANIEL CARDOSO FERREIRA;11;07/A;1817;85.963-170;Ativo
192414003;Unidade;1111450;12681;BAIRRO PRIMAVERA;12495;DANIEL CARDOSO FERREIRA;11;07/B;1811;85.963-170;Ativo
192413996;Unidade;230413;12694;BAIRRO BORBOLETA;709;BERNARDINA SCHMITT BESEN;3;3;199;85.966-014;Ativo
192413988;Unidade;1118528;12695;BAIRRO FLORIDA;688;ARTHUR HOFMEISTER;3;15;3443;85.960-546;Ativo
192413970;Unidade;266094;12677;BAIRRO CENTRO;13;MINAS GERAIS;57;8;1227;85.960-150;Ativo
192413961;Unidade;192404725;12686;BAIRRO ANA PAULA;239;EDVINO OHLWEILLER;4;13/14;1338;85.960-434;Ativo
192413953;Unidade;192404725;12686;BAIRRO ANA PAULA;239;EDVINO OHLWEILLER;4;13/14;1348;85.960-434;Ativo
192413945;Unidade;192404725;12686;BAIRRO ANA PAULA;239;EDVINO OHLWEILLER;4;13/14;1358;85.960-434;Ativo
192413937;Unidade;192404725;12686;BAIRRO ANA PAULA;239;EDVINO OHLWEILLER;4;13/14;1366;85.960-434;Ativo
192413929;Unidade;192404725;12686;BAIRRO ANA PAULA;239;EDVINO OHLWEILLER;4;13/14;1376;85.960-434;Ativo
192413910;Unidade;1081020;12694;BAIRRO BORBOLETA;399;LONI LANGE;2;11;330;85.966-012;Ativo
192413902;Unidade;192414860;12681;BAIRRO PRIMAVERA;180;PASTOR MARIO HORT;12;13/A;1800;85.963-174;Ativo
192413899;Unidade;1111710;12681;BAIRRO PRIMAVERA;180;PASTOR MARIO HORT;12;13/B;1806;85.963-174;Ativo
192413864;Unidade;1082833;12693;BAIRRO ANDORINHA;686;ARMINDO PRASS;2;8;5622;85.966-108;Ativo
192413856;Unidade;223026;12689;BAIRRO BOA VISTA;646;PROFESSORA ELLY WAYHS;8;16;1038;85.966-480;Ativo
192413848;Unidade;1145428;12694;BAIRRO BORBOLETA;15149;MARTINHO LUTERO;15;5;172;85.966-004;Ativo
192413830;Unidade;1145428;12694;BAIRRO BORBOLETA;15149;MARTINHO LUTERO;15;5;178;85.966-004;Ativo
192413805;Unidade;1145118;12694;BAIRRO BORBOLETA;15149;MARTINHO LUTERO;10;11;431;85.966-004;Ativo
192413791;Unidade;1111043;12681;BAIRRO PRIMAVERA;735;OTTO FOLLMANN;9;2;1308;85.963-158;Ativo
192413783;Unidade;1145118;12694;BAIRRO BORBOLETA;15149;MARTINHO LUTERO;10;11;425;85.966-004;Ativo
192413775;Unidade;192415298;12693;BAIRRO ANDORINHA;12446;EGON LINDNER;13;14/A;5267;85.966-120;Ativo
192413767;Unidade;1106341;12693;BAIRRO ANDORINHA;12446;EGON LINDNER;13;14/B;5261;85.966-120;Ativo
192413759;Unidade;224081;12689;BAIRRO BOA VISTA;646;PROFESSORA ELLY WAYHS;12;12;1104;85.966-480;Ativo
192413732;Unidade;301884;12680;BAIRRO HIGIENOPOLIS;174;DAS ORQUIDEAS;10;5;216;85.963-544;Ativo
192413724;Unidade;1120581;12698;BAIRRO ESPIGAO;125;PARA;1;15;750;85.960-074;Ativo
192413716;Unidade;192414186;12693;BAIRRO ANDORINHA;12447;ERNESTO VITECK;12;15/A;5255;85.966-122;Ativo
192413708;Unidade;1106155;12693;BAIRRO ANDORINHA;12447;ERNESTO VITECK;12;15/B;5249;85.966-122;Ativo
192413694;Unidade;1107364;12681;BAIRRO PRIMAVERA;12496;INOCÊNCIO FERREIRA;21;5;1629;85.963-168;Ativo
192413686;Unidade;59978;12682;BAIRRO LIDER;51;IRIO JACOB WELP;1;16;2356;85.960-055;Ativo
192413678;Unidade;180246;12685;BAIRRO DO LAGO;622;ERCI STURM;14;7;65;85.960-216;Ativo
192413660;Unidade;1109219;12693;BAIRRO ANDORINHA;672;RINALDO LUDWIG;6;6;5314;85.966-145;Ativo
192413651;Unidade;1118366;12695;BAIRRO FLORIDA;430;SÃO VICENTE;2;18/B;1495;85.960-516;Ativo
192413643;Unidade;192415069;12695;BAIRRO FLORIDA;430;SÃO VICENTE;2;18/A;1501;85.960-516;Ativo
192413635;Unidade;208981;12689;BAIRRO BOA VISTA;75;SOUZA NAVES;2;2;6769;85.966-440;Ativo
192413627;Unidade;1083171;12693;BAIRRO ANDORINHA;686;ARMINDO PRASS;8;4;5527;85.966-108;Ativo
192413619;Unidade;1083171;12693;BAIRRO ANDORINHA;686;ARMINDO PRASS;8;4;5523;85.966-108;Ativo
192413600;Unidade;1090844;12680;BAIRRO HIGIENOPOLIS;442;IMPERATRIZ;5;15;741;85.963-560;Ativo
192413597;Unidade;1090844;12680;BAIRRO HIGIENOPOLIS;442;IMPERATRIZ;5;15;733;85.963-560;Ativo
192413589;Unidade;1090844;12680;BAIRRO HIGIENOPOLIS;442;IMPERATRIZ;5;15;725;85.963-560;Ativo
192413570;Unidade;231118;12688;BAIRRO VILA GAUCHA;378;ESTRELA;2;8;283;85.966-242;Ativo
192413562;Unidade;257834;12677;BAIRRO CENTRO;35;MEM DE SA;125;7-B;1021;85.960-166;Ativo
192413554;Unidade;257834;12677;BAIRRO CENTRO;35;MEM DE SA;125;7-B;1021;85.960-166;Ativo
192413546;Unidade;257834;12677;BAIRRO CENTRO;35;MEM DE SA;125;7-B;1027;85.960-166;Ativo
192413538;Unidade;1107380;12681;BAIRRO PRIMAVERA;633;PONTA GROSSA;21;7;1267;85.963-150;Ativo
192413520;Unidade;1107380;12681;BAIRRO PRIMAVERA;633;PONTA GROSSA;21;7;1261;85.963-150;Ativo
192413511;Unidade;1088769;12686;BAIRRO ANA PAULA;552;SUBURBANA;CHAC;132/133-A;;85.969-899;Ativo
192413490;Rural;;188;ZONA RURAL;100;RURAL;25;29/30;;85.969-899;Ativo
192413481;Unidade;1108441;12692;BAIRRO GUAVIRA;587;URUGUAI;4;6;145;85.966-268;Ativo
192413473;Unidade;1111051;12681;BAIRRO PRIMAVERA;735;OTTO FOLLMANN;9;3;1322;85.963-158;Ativo
192413465;Unidade;1111051;12681;BAIRRO PRIMAVERA;735;OTTO FOLLMANN;9;3;1328;85.963-158;Ativo
192413457;Unidade;1126652;12695;BAIRRO FLORIDA;671;WALTER DIETRICH;5;12;3253;85.960-542;Ativo
192413449;Unidade;1145134;12694;BAIRRO BORBOLETA;15149;MARTINHO LUTERO;10;13;405;85.966-004;Ativo
192413430;Unidade;189030;12689;BAIRRO BOA VISTA;650;EDWINO DORZBACHER;9;10;651;85.966-478;Ativo
192413422;Unidade;189030;12689;BAIRRO BOA VISTA;650;EDWINO DORZBACHER;9;10;655;85.966-478;Ativo
192413414;Unidade;1002414;12692;BAIRRO GUAVIRA;552;SUBURBANA;CHAC.;13;;85.969-899;Ativo
192413406;Unidade;1002414;12692;BAIRRO GUAVIRA;552;SUBURBANA;CHAC.;13;;85.969-899;Ativo
192413392;Terreno;;8;DISTRITO DE NOVO TRES PASSOS;324;VARGAS VILA;12;2;;85.970-004;Ativo
192413384;Terreno;;8;DISTRITO DE NOVO TRES PASSOS;324;VARGAS VILA;12;3;;85.970-004;Ativo
192413368;Rural;;188;ZONA RURAL;100;RURAL;18;49/E;;85.969-899;Ativo
192413350;Rural;;188;ZONA RURAL;100;RURAL;18;49/D;;85.969-899;Ativo
192413341;Unidade;210005;12691;BAIRRO PEROBA;731;AMELIA SAUERESSIG WASEM;2;10;1024;85.966-402;Ativo
192413333;Unidade;1126881;12695;BAIRRO FLORIDA;671;WALTER DIETRICH;7;19;3435;85.960-542;Ativo
192413325;Unidade;1126881;12695;BAIRRO FLORIDA;671;WALTER DIETRICH;7;19;3429;85.960-542;Ativo
192413317;Unidade;192414046;12681;BAIRRO PRIMAVERA;12497;SELVINO HERBERTO HUPPERS;20;06/A;1621;85.963-166;Ativo
192413309;Unidade;1107275;12681;BAIRRO PRIMAVERA;12497;SELVINO HERBERTO HUPPERS;20;06/B;1615;85.963-166;Ativo
192413287;Unidade;1135554;12695;BAIRRO FLORIDA;669;FRIDOLINO RAUBER;2;21;2336;85.960-534;Ativo
192413279;Unidade;1146505;12691;BAIRRO PEROBA;678;ANNITA TRENTINI;12;290;;85.966-400;Ativo
192413260;Unidade;1146505;12691;BAIRRO PEROBA;678;ANNITA TRENTINI;12;290;;85.966-400;Ativo
192413252;Unidade;1061569;12692;BAIRRO GUAVIRA;552;SUBURBANA;CHAC;19/A/B;;85.969-899;Ativo
192413198;Terreno;;12681;BAIRRO PRIMAVERA;52;DEONATO SCHWAB;20;12;;85.963-188;Ativo
192413180;Terreno;;12681;BAIRRO PRIMAVERA;52;DEONATO SCHWAB;20;11;;85.963-188;Ativo
192413171;Terreno;;12681;BAIRRO PRIMAVERA;52;DEONATO SCHWAB;20;10;;85.963-188;Ativo
192413163;Terreno;;12681;BAIRRO PRIMAVERA;52;DEONATO SCHWAB;20;9;;85.963-188;Ativo
192413155;Terreno;;12681;BAIRRO PRIMAVERA;87456;MARIANINO RICARDI;20;8;;85.963-137;Ativo
192413147;Terreno;;12681;BAIRRO PRIMAVERA;87456;MARIANINO RICARDI;20;7;;85.963-137;Ativo
192413139;Terreno;;12681;BAIRRO PRIMAVERA;87456;MARIANINO RICARDI;20;6;;85.963-137;Ativo
192413120;Terreno;;12681;BAIRRO PRIMAVERA;87456;MARIANINO RICARDI;20;5;;85.963-137;Ativo
192413112;Terreno;;12681;BAIRRO PRIMAVERA;51;IRIO JACOB WELP;20;4;;85.963-192;Ativo
192413104;Terreno;;12681;BAIRRO PRIMAVERA;51;IRIO JACOB WELP;20;3;;85.963-192;Ativo
192413090;Terreno;;12681;BAIRRO PRIMAVERA;51;IRIO JACOB WELP;20;2;;85.963-192;Ativo
192413074;Terreno;;12681;BAIRRO PRIMAVERA;67;CONCORDIA;19;12;;85.963-182;Ativo
192413066;Terreno;;12681;BAIRRO PRIMAVERA;67;CONCORDIA;19;11;;85.963-182;Ativo
192413058;Terreno;;12681;BAIRRO PRIMAVERA;67;CONCORDIA;19;10;;85.963-182;Ativo
192413040;Terreno;;12681;BAIRRO PRIMAVERA;67;CONCORDIA;19;9;;85.963-182;Ativo
192413031;Terreno;;12681;BAIRRO PRIMAVERA;87456;MARIANINO RICARDI;19;8;;85.963-137;Ativo
192413023;Terreno;;12681;BAIRRO PRIMAVERA;87456;MARIANINO RICARDI;19;7;;85.963-137;Ativo
192413015;Terreno;;12681;BAIRRO PRIMAVERA;87456;MARIANINO RICARDI;19;5;;85.963-137;Ativo
192413007;Terreno;;12681;BAIRRO PRIMAVERA;52;DEONATO SCHWAB;19;4;;85.963-188;Ativo
192412990;Terreno;;12681;BAIRRO PRIMAVERA;52;DEONATO SCHWAB;19;3;;85.963-188;Ativo
192412981;Terreno;;12681;BAIRRO PRIMAVERA;52;DEONATO SCHWAB;19;2;;85.963-188;Ativo
192412973;Terreno;;12681;BAIRRO PRIMAVERA;52;DEONATO SCHWAB;19;1;;85.963-188;Ativo
192412965;Terreno;;12681;BAIRRO PRIMAVERA;87454;LOTARIO RAABE;18;11;;85.963-141;Ativo
192412957;Terreno;;12681;BAIRRO PRIMAVERA;87453;JOAO RISSE;18;10;;85.963-179;Ativo
192412949;Terreno;;12681;BAIRRO PRIMAVERA;87453;JOAO RISSE;18;9;;85.963-179;Ativo
192412930;Terreno;;12681;BAIRRO PRIMAVERA;87453;JOAO RISSE;18;8;;85.963-179;Ativo
192412922;Terreno;;12681;BAIRRO PRIMAVERA;87456;MARIANINO RICARDI;18;7;;85.963-137;Ativo
192412914;Terreno;;12681;BAIRRO PRIMAVERA;87456;MARIANINO RICARDI;18;6;;85.963-137;Ativo
192412906;Terreno;;12681;BAIRRO PRIMAVERA;87456;MARIANINO RICARDI;18;5;;85.963-137;Ativo
192412892;Terreno;;12681;BAIRRO PRIMAVERA;67;CONCORDIA;18;4;;85.963-182;Ativo
192412884;Terreno;;12681;BAIRRO PRIMAVERA;67;CONCORDIA;18;3;;85.963-182;Ativo
192412876;Terreno;;12681;BAIRRO PRIMAVERA;67;CONCORDIA;18;2;;85.963-182;Ativo
192412868;Terreno;;12681;BAIRRO PRIMAVERA;67;CONCORDIA;18;1;;85.963-182;Ativo
192412850;Terreno;;12681;BAIRRO PRIMAVERA;87453;JOAO RISSE;17;15;;85.963-179;Ativo
192412841;Terreno;;12681;BAIRRO PRIMAVERA;87453;JOAO RISSE;17;14;;85.963-179;Ativo
192412833;Terreno;;12681;BAIRRO PRIMAVERA;87455;SONI HEINRICH;17;13;;85.963-139;Ativo
192412825;Terreno;;12681;BAIRRO PRIMAVERA;87455;SONI HEINRICH;17;12;;85.963-139;Ativo
